编号,名称,金额,,
S19970126,微型电子计算机,15980,,
S19970214,微型电子计算机,5000,,
S19980052,服务站,10100,,
S19980157,超级工作站,6140,,
S19980170,服务器,8940,,
S19980171,工作站,4620,,
S19980173,微型电子计算机,12588,,
S19980174,微型电子计算机,10388,,
S19980175,微型电子计算机,7588,,
S19980197,服务站,10100,,
S19980199,微型电子计算机,24825,,
S19980200,微型电子计算机,17600,,
S19980201,微型电子计算机,5300,,
S19980228,微型电子计算机,4800,,
S19980232,微型电子计算机,4800,,
S19980233,微型电子计算机,4800,,
S19980234,微型电子计算机,4800,,
S19980235,微型电子计算机,4800,,
S19980236,微型电子计算机,4800,,
S19980237,微型电子计算机,4800,,
S19980238,微型电子计算机,4800,,
S19980239,微型电子计算机,4800,,
S19980240,微型电子计算机,4800,,
S19980241,微型电子计算机,4800,,
S19980262,微型电子计算机,9600,,
S19980263,微型电子计算机,9600,,
S19980264,微型电子计算机,9600,,
S19980265,微型电子计算机,9600,,
S19980266,微型电子计算机,9600,,
S19990190,微型电子计算机,8530,,
S19990191,微型电子计算机,8530,,
S19990192,微型电子计算机,8530,,
S19990193,微型电子计算机,8530,,
S19990194,微型电子计算机,8530,,
S19990195,微型电子计算机,8530,,
S19990196,微型电子计算机,8530,,
S19990197,微型电子计算机,8530,,
S19990345,微型电子计算机,12700,,
S19990346,微型电子计算机,10988,,
S20000028,微型电子计算机,4750,,
S20000029,微型电子计算机,4750,,
S20000030,微型电子计算机,4750,,
S20000031,微型电子计算机,4750,,
S20000032,微型电子计算机,4750,,
S20000033,微型电子计算机,4750,,
S20000034,微型电子计算机,4750,,
S20000035,微型电子计算机,4750,,
S20000036,微型电子计算机,4750,,
S20000037,微型电子计算机,4750,,
S20000038,微型电子计算机,4750,,
S20000039,微型电子计算机,4750,,
S20000040,微型电子计算机,4750,,
S20000041,微型电子计算机,4750,,
S20000042,微型电子计算机,4750,,
S20000043,微型电子计算机,4750,,
S20000044,微型电子计算机,4750,,
S20000045,微型电子计算机,4750,,
S20000046,微型电子计算机,4750,,
S20000047,微型电子计算机,4750,,
S20000048,微型电子计算机,4750,,
S20000049,微型电子计算机,4750,,
S20000050,微型电子计算机,4750,,
S20000051,微型电子计算机,4750,,
S20000052,微型电子计算机,4750,,
S20020074,微型电子计算机,9000,,
S20020125,微型电子计算机,9000,,
S20030266,微型电子计算机,5671,,
S20030592,微型电子计算机,4850,,
S20030594,微型电子计算机,4850,,
S20030595,微型电子计算机,4850,,
S20030603,微型电子计算机,4850,,
S20030604,微型电子计算机,4850,,
S20030605,微型电子计算机,4850,,
S20030607,微型电子计算机,4850,,
S20030608,微型电子计算机,4850,,
S20030609,微型电子计算机,4850,,
S20030612,微型电子计算机,4850,,
S20030614,微型电子计算机,4850,,
S20030615,微型电子计算机,4850,,
S20030618,微型电子计算机,4850,,
S20030620,微型电子计算机,4850,,
S20030621,微型电子计算机,4850,,
S20030622,微型电子计算机,4850,,
S20030623,微型电子计算机,4850,,
S20030624,微型电子计算机,4850,,
S20030625,微型电子计算机,4850,,
S20030626,微型电子计算机,4850,,
S20030627,微型电子计算机,4850,,
S20050001,微型电子计算机,6250,,
S20060046,微型电子计算机,4400,,
S20060047,微型电子计算机,4400,,
S20060048,微型电子计算机,4400,,
S20060050,微型电子计算机,4400,,
S20060051,微型电子计算机,4400,,
S20060052,微型电子计算机,4400,,
S20060054,微型电子计算机,4400,,
S20060055,微型电子计算机,4400,,
S20060056,微型电子计算机,4400,,
S20060057,微型电子计算机,4400,,
S20060058,微型电子计算机,4400,,
S20060060,微型电子计算机,4400,,
S20060062,微型电子计算机,4400,,
S20060064,微型电子计算机,4400,,
S20060177,微型电子计算机,5600,,
S20060178,微型电子计算机,5600,,
S20060179,微型电子计算机,5600,,
S20060180,微型电子计算机,5600,,
S20060181,微型电子计算机,5600,,
S20060182,微型电子计算机,5600,,
S20060183,微型电子计算机,5600,,
S20060184,微型电子计算机,5600,,
S20060185,微型电子计算机,5600,,
S20060186,微型电子计算机,5600,,
S20060187,微型电子计算机,5600,,
S20060188,微型电子计算机,5600,,
S20060189,微型电子计算机,5600,,
S20060190,微型电子计算机,5600,,
S20060191,微型电子计算机,5600,,
S20060192,微型电子计算机,5600,,
S20060193,微型电子计算机,5600,,
S20060194,微型电子计算机,5600,,
S20060195,微型电子计算机,5600,,
S20060196,微型电子计算机,5600,,
S20060197,微型电子计算机,5600,,
S20060198,微型电子计算机,5600,,
S20060199,微型电子计算机,5600,,
S20060200,微型电子计算机,5600,,
S20060201,微型电子计算机,5600,,
S20060202,微型电子计算机,5600,,
S20060203,微型电子计算机,5600,,
S20060204,微型电子计算机,5600,,
S20060205,微型电子计算机,5600,,
S20060206,微型电子计算机,5600,,
S20060207,微型电子计算机,5600,,
S20060208,微型电子计算机,5600,,
S20060209,微型电子计算机,5600,,
S20060210,微型电子计算机,5600,,
S20060211,微型电子计算机,5600,,
S20060212,微型电子计算机,5600,,
S20060213,微型电子计算机,5600,,
S20060214,微型电子计算机,5600,,
S20060215,微型电子计算机,5600,,
S20060216,微型电子计算机,5600,,
S20060217,微型电子计算机,5600,,
S20060218,微型电子计算机,5600,,
S20060518,微型电子计算机,5490,,
S20063076,微型电子计算机,5485,,
S20063101,微型电子计算机,6500,,
S20063231,微型电子计算机,4600,,
S20063233,微型电子计算机,5050,,
S20073667,微型电子计算机,4850,,
S20073668,微型电子计算机,4850,,
S20073669,微型电子计算机,4850,,
S20080401,微型电子计算机,4020,,
S20080404,微型电子计算机,4020,,
S20080408,微型电子计算机,4020,,
S20080414,微型电子计算机,4200,,
S20080415,微型电子计算机,4200,,
S20080416,微型电子计算机,4200,,
S20080418,微型电子计算机,4200,,
S20080419,微型电子计算机,4200,,
S20080420,微型电子计算机,4200,,
S20080421,微型电子计算机,4200,,
S20080422,微型电子计算机,4200,,
S20080426,服务器,18000,,
S20080472,微型电子计算机,4400,,
S20080475,微型电子计算机,4400,,
S20080477,微型电子计算机,4400,,
S20080478,微型电子计算机,4400,,
S20080480,微型电子计算机,4400,,
S20080481,微型电子计算机,4400,,
S20080482,微型电子计算机,4400,,
S20080483,微型电子计算机,4400,,
S20080484,微型电子计算机,4400,,
S20080485,微型电子计算机,4400,,
S20080486,微型电子计算机,4400,,
S20080487,微型电子计算机,4400,,
S20080488,微型电子计算机,4400,,
S20080489,微型电子计算机,4400,,
S20080491,微型电子计算机,4400,,
S20080492,微型电子计算机,4400,,
S20080493,微型电子计算机,4400,,
S20080494,微型电子计算机,4400,,
S20080495,微型电子计算机,4400,,
S20080496,微型电子计算机,4400,,
S20080497,微型电子计算机,4400,,
S20080498,微型电子计算机,4400,,
S20080499,微型电子计算机,4400,,
S20080500,微型电子计算机,4400,,
S20080502,微型电子计算机,4400,,
S20080503,微型电子计算机,4400,,
S20080504,微型电子计算机,4400,,
S20080505,微型电子计算机,4400,,
S20080506,微型电子计算机,4400,,
S20080507,微型电子计算机,4400,,
S20080508,微型电子计算机,4400,,
S20080509,微型电子计算机,4400,,
S20080510,微型电子计算机,4400,,
S20080511,微型电子计算机,4400,,
S20080512,微型电子计算机,4400,,
S20080513,微型电子计算机,4400,,
S20080514,微型电子计算机,4400,,
S20080515,微型电子计算机,4400,,
S20080516,微型电子计算机,4400,,
S20080517,微型电子计算机,4400,,
S20080518,微型电子计算机,4400,,
S20080519,微型电子计算机,4400,,
S20080520,微型电子计算机,4400,,
S20080521,微型电子计算机,4400,,
S20080522,微型电子计算机,4400,,
S20080523,微型电子计算机,4400,,
S20080524,微型电子计算机,4400,,
S20080525,微型电子计算机,4400,,
S20080526,微型电子计算机,4400,,
S20080527,微型电子计算机,4400,,
S20080528,微型电子计算机,4400,,
S20080529,微型电子计算机,4400,,
S20080530,微型电子计算机,4400,,
S20080531,微型电子计算机,4400,,
S20080532,微型电子计算机,4800,,
S20080533,微型电子计算机,4400,,
S20080534,微型电子计算机,4400,,
S20080535,微型电子计算机,4400,,
S20080536,微型电子计算机,4400,,
S20080537,微型电子计算机,4400,,
S20080538,微型电子计算机,4400,,
S20080539,微型电子计算机,4400,,
S20080540,微型电子计算机,4400,,
S20080541,微型电子计算机,4400,,
S20080542,微型电子计算机,4400,,
S20080543,微型电子计算机,4800,,
S20080544,微型电子计算机,4400,,
S20080545,微型电子计算机,4400,,
S20080546,微型电子计算机,4400,,
S20080547,微型电子计算机,4400,,
S20080548,微型电子计算机,4400,,
S20080549,微型电子计算机,4400,,
S20080550,微型电子计算机,4400,,
S20080551,微型电子计算机,4400,,
S20080552,微型电子计算机,4400,,
S20080553,微型电子计算机,4400,,
S20080554,微型电子计算机,4800,,
S20080555,微型电子计算机,4400,,
S20080556,微型电子计算机,4400,,
S20080557,微型电子计算机,4400,,
S20080558,微型电子计算机,5300,,
S20080559,微型电子计算机,5300,,
S20080560,微型电子计算机,5300,,
S20080561,微型电子计算机,5300,,
S20080562,微型电子计算机,5300,,
S20080563,微型电子计算机,5300,,
S20080564,微型电子计算机,5300,,
S20090376,微型电子计算机,3050.82,,
S20090378,微型电子计算机,3050.82,,
S20090379,微型电子计算机,3050.82,,
S20090380,微型电子计算机,3050.82,,
S20090381,微型电子计算机,3050.82,,
S20090382,微型电子计算机,3050.82,,
S20090383,微型电子计算机,3050.82,,
S20090384,微型电子计算机,3050.82,,
S20090385,微型电子计算机,3050.82,,
S20090386,微型电子计算机,3050.82,,
S20090387,微型电子计算机,3050.82,,
S20090388,微型电子计算机,3050.82,,
S20090389,微型电子计算机,3050.82,,
S20090390,微型电子计算机,3050.82,,
S20090391,微型电子计算机,3050.82,,
S20090392,微型电子计算机,3050.82,,
S20090393,微型电子计算机,3050.82,,
S20090394,微型电子计算机,3050.82,,
S20090395,微型电子计算机,3050.82,,
S20090396,微型电子计算机,3050.82,,
S20090397,微型电子计算机,3050.82,,
S20090398,微型电子计算机,3050.82,,
S20090399,微型电子计算机,3050.82,,
S20090400,微型电子计算机,3050.82,,
S20090401,微型电子计算机,3050.82,,
S20090402,微型电子计算机,3050.82,,
S20090403,微型电子计算机,3050.82,,
S20090404,微型电子计算机,3050.82,,
S20090405,微型电子计算机,3050.82,,
S20090406,微型电子计算机,3050.82,,
S20090407,微型电子计算机,3050.82,,
S20090408,微型电子计算机,3050.82,,
S20090409,微型电子计算机,3050.82,,
S20090410,微型电子计算机,3050.82,,
S20090411,微型电子计算机,3050.82,,
S20090412,微型电子计算机,3050.82,,
S20090414,微型电子计算机,3050.82,,
S20090415,微型电子计算机,3050.82,,
S20090416,微型电子计算机,3050.82,,
S20090417,微型电子计算机,3050.82,,
S20090418,微型电子计算机,3050.82,,
S20090419,微型电子计算机,3050.82,,
S20090420,微型电子计算机,3050.82,,
S20090422,微型电子计算机,3050.82,,
S20090423,微型电子计算机,3050.82,,
S20090424,微型电子计算机,3050.82,,
S20090425,微型电子计算机,3050.82,,
S20090426,微型电子计算机,3050.82,,
S20090427,微型电子计算机,3050.82,,
S20090428,微型电子计算机,3050.82,,
S20090429,微型电子计算机,3050.82,,
S20090430,微型电子计算机,3050.82,,
S20090431,微型电子计算机,3050.82,,
S20090432,微型电子计算机,3050.82,,
S20090433,微型电子计算机,3050.82,,
S20090434,微型电子计算机,3050.82,,
S20090436,微型电子计算机,3050.82,,
S20090438,微型电子计算机,3050.82,,
S20090439,微型电子计算机,3050.82,,
S20090440,微型电子计算机,3050.82,,
S20090441,微型电子计算机,3050.82,,
S20090442,微型电子计算机,3050.82,,
S20090677,微型电子计算机,5528.36,,
S20090678,微型电子计算机,5528.36,,
S20090679,微型电子计算机,5528.36,,
S20090680,微型电子计算机,5528.36,,
S20090681,微型电子计算机,5528.36,,
S20090682,微型电子计算机,5528.36,,
S20090683,微型电子计算机,5528.36,,
S20090684,微型电子计算机,5528.36,,
S20090685,微型电子计算机,5528.36,,
S20090686,微型电子计算机,5528.36,,
S20090687,微型电子计算机,5528.36,,
S20090688,微型电子计算机,5528.36,,
S20090689,微型电子计算机,5528.36,,
S20090690,微型电子计算机,5528.36,,
S20090691,微型电子计算机,5528.36,,
S20090692,微型电子计算机,5528.36,,
S20090693,微型电子计算机,5528.36,,
S20090694,微型电子计算机,5528.36,,
S20090695,微型电子计算机,5528.36,,
S20090696,微型电子计算机,5528.36,,
S20101919,实训机,4200,,
S20101920,实训机,4200,,
S20101921,实训机,4200,,
S20101922,实训机,4200,,
S20101923,实训机,4200,,
S20101924,实训机,4200,,
S20101925,实训机,4200,,
S20101926,实训机,4200,,
S20101927,实训机,4200,,
S20101928,实训机,4200,,
S20101929,实训机,4200,,
S20101930,实训机,4200,,
S20101931,实训机,4200,,
S20101932,实训机,4200,,
S20101933,实训机,4200,,
S20101934,实训机,4200,,
S20101935,实训机,4200,,
S20101936,实训机,4200,,
S20101937,实训机,4200,,
S20101938,实训机,4200,,
S20101939,实训机,4200,,
S20101940,实训机,4200,,
S20101941,实训机,4200,,
S20101942,实训机,4200,,
S20101943,实训机,4200,,
S20101944,实训机,4200,,
S20101945,实训机,4200,,
S20101946,实训机,4200,,
S20101947,实训机,4200,,
S20101948,实训机,4200,,
S20101949,实训机,4200,,
S20101950,实训机,4200,,
S20101951,实训机,4200,,
S20101952,实训机,4200,,
S20101953,实训机,4200,,
S20101954,实训机,4200,,
S20101955,实训机,4200,,
S20101956,实训机,4200,,
S20101957,实训机,4200,,
S20101958,实训机,4200,,
S20101959,实训机,4200,,
S20101960,实训机,4200,,
S20101961,实训机,4200,,
S20101962,实训机,4200,,
S20101963,实训机,4200,,
S20101964,实训机,4200,,
S20101965,实训机,4200,,
S20101966,实训机,4200,,
S20101967,实训机,4200,,
S20101968,实训机,4200,,
S20101969,实训机,4200,,
S20101970,实训机,4200,,
S20101971,实训机,4200,,
S20101972,实训机,4200,,
S20101973,实训机,4200,,
S20101974,实训机,4200,,
S20101975,实训机,4200,,
S20101976,实训机,4200,,
S20101977,实训机,4200,,
S20101978,实训机,4200,,
